lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_todense,only_multiply,sp_smdm,bz_smsm,bz_right_todense,bz_smdm
67778,67468,17886,0.01084252,0.03,49582161,36203817,21693,1430273,1451966,354393,5666,4727456
73727,50453,6133,0.00108175,0.01,4023863,3094590,2564,46393,48957,17650,2245,144060
72079,1234,3739,0.00078778,0.01,70076,46150,20,2920,2940,157,14,4650
10952,3956,8948,0.00001651,0.13,715,4602195,210,1890,2100,114,154,2297
90302,41868,6013,0.00018467,0.005,698195,1258961,1732,13918,15650,1582,1733,36181
60740,33953,7347,0.00015297,0.27,315475,67355810,2008,33219,35227,34511,1319,38176
134395,43005,4828,0.00002088,0.25,120680,51907729,1736,25594,27330,23945,430,20076
55019,25927,22439,0.00047003,0.001,670493,581801,3152,34083,37235,1038,3171,100571
109214,23235,5850,0.00001651,0.0005,41896,67969,618,7451,8069,21,615,9656
149203,49223,567,0.00002483,0.27,182358,7537001,113,1078,1191,2096,103,3393
34264,81904,19554,0.00001651,0.001,46333,1601620,7439,22685,30124,110,7647,31564
142067,99650,3320,0.00041097,0.13,5818115,43014289,2385,85335,87720,89320,713,156235
35653,6548,47490,0.00000464,0.01,1083,3109841,2047,13345,15392,69,2165,13457
128491,37633,503,0.00041097,0.1,1987310,1893656,73,2780,2853,6004,61,7840
107692,15376,5400,0.00000434,0.3,7186,24912778,912,12887,13799,1017,5439,8981
91878,79011,1585,0.00047003,0.3,3412190,37577321,1322,12034,13356,31053,663,35166
148744,14195,4049,0.00082185,0.25,1735369,14372376,264,21401,21665,79891,135,53723
36353,21627,4686,0.00182521,0.001,1435068,101355,908,10775,11683,356,976,38269
39057,65714,5064,0.00002088,0.001,53592,332806,1911,6692,8603,44,1921,9069
63893,98092,2131,0.00000434,0.3,27201,62710725,13637,2268,15905,1969,1107,3724
51691,40676,21979,0.00491597,0.0005,10336477,447028,5503,357254,362757,8025,5563,1185490
5706,26934,498,0.00491597,0.3,755606,4026252,150,616,766,979,44,995
16560,96414,1932,0.00002483,0.3,39645,55890336,2261,1355,3616,2272,984,2287
129946,5515,621,0.00047003,0.23,336907,789059,32,1068,1100,2839,41,2241
131355,2093,9379,0.00952101,0.03,2617806,588994,58,58983,59041,44833,54,165750
12640,140,45958,0.00182521,0.13,3251,841882,37,4370,4407,804,27,4864
23823,4098,31372,0.00082185,0.13,80255,16717387,1163,14660,15823,25260,321,24623
79806,43266,11330,0.00160539,0.13,5543327,63733088,3309,139780,143089,203480,2488,357598
134593,43061,8367,0.00108175,0.13,6269567,46841184,12142,188265,200407,205587,1827,378241
63560,8853,14455,0.00002088,0.05,11749,6399018,1101,9641,10742,622,2103,10929
1845,30962,44492,0.00952101,0.005,544057,6888066,7506,41238,48744,5525,7210,141780
137127,18850,4795,0.00002088,0.13,53972,11750734,266,9416,9682,2596,469,11346
21271,9831,27835,0.00001651,0.1,3452,27365508,6441,15338,21779,883,6776,13209
47319,157,9674,0.00160539,0.23,12002,351561,26,3666,3692,1264,16,4760
41847,20929,6892,0.00491597,0.1,4305644,14424885,1263,50113,51376,43913,477,155025
41029,74071,14479,0.00491597,0.03,14940441,32175416,13377,324280,337657,98583,4829,1135680
47220,24989,19836,0.02533638,0.05,29897665,24784903,2747,881988,884735,266948,2428,3006991
118043,87390,12550,0.00182521,0.0005,18828527,548385,7886,706167,714053,7686,7774,1589000
83322,26300,2170,0.00491597,0.25,10773141,14271019,582,48066,48648,69791,439,133094
17336,18634,23391,0.00078778,0.1,254495,43587966,10129,28449,38578,38387,1316,39233
64413,10721,10525,0.00031941,0.03,220582,3385353,933,10179,11112,4762,1310,21088
75825,41469,9371,0.00034241,0.13,1076679,50521505,11588,38378,49966,89502,1595,66745
109046,21660,1643,0.00163948,0.03,3872500,1067990,90,17736,17826,13104,360,43850
117887,43943,2704,0.00015297,0.17,792452,20207540,1154,14462,15616,29899,250,18511
70411,11972,24600,0.00013363,0.13,112654,38290496,8538,33516,42054,39323,841,31380
45114,10492,24379,0.00491597,0.01,2327126,2558055,2032,80791,82823,33352,1155,301658
41951,73668,1031,0.00002088,0.0005,64530,38008,341,1152,1493,14,333,1630
117867,21275,9275,0.00018467,0.13,463104,25653800,1947,24610,26557,45113,1823,49129
31046,27179,1834,0.00000434,0.2,3662,9974708,614,582,1196,178,116,979
137034,91065,2431,0.00002088,0.27,260563,59785667,1865,29664,31529,13050,1164,21612
90185,32471,5210,0.00047003,0.01,1376457,1691889,1377,17102,18479,5592,1240,49944
144112,87176,13029,0.00082487,0.05,10363023,56795187,17155,509582,526737,303187,5499,1050434
22530,10253,48658,0.00160539,0.03,370866,14967638,4765,36691,41456,38712,2337,112109
26419,12879,25452,0.00056263,0.1,191449,32781952,7639,24685,32324,36210,1451,40757
20715,13469,20208,0.00002483,0.23,6928,62607935,13529,4109,17638,2968,13057,5638
40505,12378,27829,0.00041097,0.2,206065,68898718,2688,42474,45162,80420,1630,25462
124839,80742,12194,0.00000464,0.05,46770,49230041,13468,38662,52130,3095,12209,49356
77031,584,19909,0.00491597,0.3,221416,3492264,97,17807,17904,67919,40,34985
46389,21677,12584,0.00082185,0.17,826472,46376622,1925,34539,36464,74011,709,62307
88987,57897,16601,0.00002483,0.03,127927,28835533,9691,37294,46985,5342,9218,49450
74393,61781,3466,0.00182521,0.23,8388939,49256590,1676,71328,73004,93399,437,157782
17053,68211,9327,0.00078778,0.005,916381,3181257,3465,18480,21945,2964,3587,53652
70243,18581,15137,0.00056263,0.13,734374,36566022,8572,38609,47181,88137,1440,77433
99551,65462,1370,0.00860544,0.15,56081368,13457341,460,185531,185991,116223,234,472963
101995,21211,15495,0.00018467,0.15,399527,49303159,11033,43004,54037,78032,1142,65043
29391,45554,31508,0.00163948,0.001,2195076,1435322,6961,100695,107656,3973,6743,382150
6742,75973,24251,0.00002088,0.01,10695,18424868,11455,8254,19709,328,12745,14174
1890,69055,1645,0.00013363,0.13,17441,14772155,390,700,1090,357,536,1068
122872,7667,209,0.00163948,0.05,1544530,80229,20,775,795,1037,13,2289
105828,74577,396,0.00056263,0.2,4440503,5911526,107,4464,4571,7926,109,12497
86877,14638,14200,0.00108175,0.001,1375721,207877,1483,41671,43154,889,1502,124700
53857,9873,23597,0.00160539,0.13,853679,30288539,1575,45500,47075,127934,1197,118489
46060,31593,12477,0.00296184,0.15,4310071,59129895,2767,105406,108173,121873,1095,284582
15769,27519,48905,0.00019487,0.01,84566,13458643,8385,33713,42098,2855,8053,51239
60528,5350,3159,0.00182521,0.23,591139,3888820,75,4707,4782,18552,100,13005
88725,62419,9675,0.00952101,0.05,52729591,30197769,3579,1133087,1136666,334234,2777,2927142
3325,56230,3560,0.00296184,0.23,553791,46047145,2134,4745,6879,4584,1033,12925
141148,75771,13011,0.00160539,0.05,17169578,49293225,16644,827216,843860,351382,4737,1647627
109753,87959,416,0.00002483,0.03,239704,1100024,90,1165,1255,288,115,1594
30866,17183,18656,0.00078778,0.05,417827,16028511,4321,21655,25976,29220,1442,54496
81106,27977,18993,0.00013363,0.13,303222,69078256,15284,49948,65232,76537,1707,79298
18876,4775,8721,0.00000464,0.3,418,12495083,170,930,1100,154,117,1027
66337,2388,7620,0.00008429,0.23,13356,4186712,135,4400,4535,1580,52,5450
224,50902,8959,0.00008429,0.15,962,68406475,14978,1692,16670,412,16030,2315
47902,10258,40635,0.00860544,0.07,4228743,29180178,7747,263526,271273,262452,2054,895875
19523,934,25662,0.00056263,0.13,10266,3117975,86,4557,4643,1979,63,6119
16165,37037,2804,0.00082282,0.2,492642,20774488,1066,2905,3971,5642,548,8682
64348,19672,7712,0.00370564,0.2,4690976,30345813,1590,69520,71110,110950,311,193783
8093,11670,43230,0.00078778,0.07,74402,35315373,8447,24349,32796,13571,8289,24778
70750,40157,28409,0.00008429,0.03,239480,34225737,11672,50324,61996,16552,15863,84519
20235,42466,12237,0.00182521,0.03,1568424,15590396,5272,28007,33279,26522,5204,114418
81521,33249,22127,0.01084252,0.0005,29389118,367856,7998,1140998,1148996,26869,7319,3486157
138381,26832,9184,0.00018467,0.27,685694,66541578,1987,43440,45427,125825,1291,58298
78519,15235,6040,0.00082487,0.17,986777,15644394,886,15202,16088,56863,223,38015
146154,1317,10067,0.00001651,0.17,3178,2254044,62,8959,9021,361,43,8255
19306,38528,22318,0.00041097,0.05,305707,42994698,11792,21194,32986,30542,10314,49972
61507,64168,3007,0.00013363,0.13,527416,25087802,1785,5236,7021,13013,449,13536
110118,17517,11225,0.00008429,0.25,162597,49161767,2319,30558,32877,40129,788,36449
22950,10175,25162,0.00296184,0.27,691700,69132631,2112,47689,49801,92847,1264,96421
39045,50871,3696,0.00082282,0.25,1634351,47005874,2107,9559,11666,32010,781,34758
4301,38381,37946,0.00002483,0.0005,4099,728231,6853,8126,14979,32,6798,12093
10,24130,2263,0.00034241,0.005,87,273120,154,199,353,16,113,325
62788,30689,7210,0.00001651,0.13,31813,28766562,6530,15984,22514,2487,6511,18085
13984,6161,15339,0.00860544,0.3,741545,28355267,1049,24123,25172,36579,246,59510
61837,15728,14842,0.02533638,0.13,24642471,30348225,1473,557502,558975,415586,1186,1869468
47667,89081,10811,0.00491597,0.01,20874712,9631434,9681,347351,357032,69247,8064,1168238
55938,9379,9133,0.00018467,0.15,96888,12849645,777,7758,8535,13500,390,13397
145291,29857,2164,0.00015297,0.25,663593,16158835,294,8402,8696,27333,146,13778
73450,28696,2701,0.00296184,0.17,6242903,13178472,245,29427,29672,47884,165,93451
13678,69478,997,0.00370564,0.13,3521622,9012222,209,4916,5125,4875,554,18911
74969,30626,22209,0.00078778,0.0005,1808808,340099,3514,72574,76088,1069,3592,241603
123565,34426,2336,0.00182521,0.27,7764316,21716782,876,66099,66975,84849,178,124761
7931,65086,5899,0.00002088,0.01,10778,3840068,2410,1932,4342,105,3015,3156
92341,7302,10440,0.00018467,0.2,124528,15248655,785,12122,12907,21304,168,21244
57417,4990,26049,0.00952101,0.27,2728256,35101184,1314,114566,115880,269536,288,386953
94340,10152,16472,0.02533638,0.1,24266025,16722661,1585,839718,841303,489409,332,962510
57540,63586,437,0.00056263,0.23,2058572,6404507,153,1599,1752,3914,71,5600
40319,72941,2948,0.00108175,0.05,3181408,10754886,3683,14466,18149,15681,3576,53022
52172,6086,36193,0.00056263,0.13,178653,28636974,6732,28872,35604,67004,1121,58368
127748,32756,8112,0.00082487,0.2,3451691,53149283,12622,94030,106652,195856,1393,214572
8095,56530,2191,0.00491597,0.13,2249845,16101643,1100,7034,8134,6460,4467,27497
89116,9732,5599,0.00019487,0.13,169010,7084026,171,7298,7469,10127,306,12887
9247,4600,6508,0.01084252,0.15,461280,4491926,103,3773,3876,7696,83,16290
35390,33639,6233,0.00078778,0.15,937867,31451509,7396,9831,17227,34773,425,35095
118270,5395,12366,0.00952101,0.17,6075596,11342507,208,214610,214818,244839,147,493463
74347,55846,7870,0.00952101,0.01,39531852,4395439,9793,528217,538010,100093,1966,1668677
40304,82417,1274,0.00082185,0.15,2729991,15760247,1002,5854,6856,9957,543,20113
39955,23735,3557,0.00296184,0.27,2808903,22801970,887,14226,15113,31345,1022,54641
26848,91981,3943,0.00296184,0.17,7314601,61671028,15672,43114,58786,49114,1855,177962
144711,3562,11177,0.00082185,0.27,423709,10752194,222,22519,22741,84222,96,47609
744,52746,115,0.00370564,0.3,145421,1832248,37,168,205,85,27,194
48912,7152,23122,0.00000464,0.15,1623,24807505,1568,14954,16522,558,6505,12578
31079,62790,10888,0.00491597,0.01,9593404,6837252,6026,157632,163658,40408,5991,564415
41058,5686,11014,0.00108175,0.05,252587,3132040,551,8077,8628,10037,130,20858
